OrderDetailID,OrderID,MobilePhoneID,Quantity
409,364,97,4.64
410,371,88,1.62
411,191,87,4.96
412,754,8,3.77
413,380,63,3.42
414,654,90,4.89
415,560,6,3.38
416,606,62,2.05
417,248,54,1.88
418,674,2,4.39
419,487,51,1.52
420,15,53,2.76
421,838,25,3.41
422,950,5,3.92
423,586,61,1.52
424,365,24,4.26
425,669,96,3.46
426,811,53,3.6
427,671,38,1.15
428,389,78,4.94
429,265,86,1.46
430,878,21,4.84
431,947,74,2.67
432,854,2,4.91
433,970,44,1.63
434,757,23,1.49
435,297,55,4.61
436,105,57,2.53
437,639,18,4.22
438,997,73,2.77
439,245,25,2.75
440,322,69,2.64
441,532,71,3.36
442,249,18,2.29
443,303,51,3.18
444,619,95,4.9
445,883,31,1.09
446,474,75,2.33
447,559,37,1.04
448,27,64,2.17
449,538,75,3.7
450,237,99,2.19
451,53,92,1.58
452,682,9,4.84
453,587,53,3.42
454,476,17,2.62
455,316,78,1.87
456,299,86,3.68
457,927,30,4.34
458,34,67,1.27
459,125,79,4.24
460,321,74,4.51
461,711,71,1.44
462,217,18,2.35
463,214,3,4.35
464,880,19,2.71
465,79,49,3.23
466,459,31,1.7
467,136,8,4.29
468,525,12,2.97
469,820,95,3.08
470,636,62,3.9
471,251,10,4.47
472,21,45,2.34
473,801,40,2.82
474,131,14,4.94
475,263,5,1.33
476,112,61,3.54
477,984,45,1.98
478,547,1,1.77
479,792,41,2.97
480,335,76,1.47
481,690,99,1.59
482,630,86,4.95
483,546,70,3.49
484,361,52,2.37
485,602,62,2.51
486,265,39,4.61
487,621,76,2.8
488,822,69,1.86
489,213,73,2.71
490,331,9,3.9
491,629,6,1.33
492,874,87,4.27
493,891,13,2.08
494,892,5,3.05
495,252,56,3.46
496,149,90,1.2
497,43,28,1.26
498,751,42,1.1
499,202,75,3.75
500,915,28,3.15
501,774,17,2.75
502,201,15,2.8
503,773,80,4.89
504,169,14,4.19
505,158,1,1.71
506,537,63,1.38
507,482,31,4.95
508,527,71,2.17
509,922,16,2.11
510,369,41,1.67
511,342,47,1.07
512,877,14,4.13
513,153,1,1.26
514,760,55,2.51
515,459,69,1.63
516,932,80,4.78
517,820,46,2.47
518,152,69,4.53
519,899,57,3.69
520,621,21,1.2
521,198,40,3.23
522,817,68,1.17
523,392,86,1.35
524,239,9,4.95
525,423,93,4.46
526,841,80,3.36
527,87,74,2.45
528,153,48,4.82
529,586,28,1.03
530,454,23,2.0
531,461,58,1.77
532,310,69,3.81
533,249,95,1.36
534,959,65,2.32
535,983,76,3.9
536,887,29,3.64
537,99,56,1.92
538,142,61,1.82
539,115,19,4.42
540,500,66,3.56
541,2,6,2.61
542,617,78,2.03
543,89,77,1.2
544,481,99,3.87
545,278,91,3.44
546,395,86,3.09
547,996,61,1.81
548,770,73,4.73
549,62,52,2.74
550,229,84,4.82
551,598,3,2.43
552,677,71,3.55
553,5,20,3.35
554,791,11,4.99
555,994,3,2.46
556,667,78,2.22
557,697,97,1.13
558,382,54,2.59
559,643,93,2.48
560,905,92,2.23
561,325,49,2.46
562,439,46,3.03
563,442,95,4.39
564,209,59,3.83
565,693,50,1.07
566,524,20,1.99
567,257,75,1.02
568,403,74,3.21
569,710,21,4.93
570,281,59,1.21
571,296,95,2.72
572,761,35,2.5
573,434,28,4.06
574,259,61,3.18
575,662,65,1.9
576,818,19,2.84
577,884,41,4.67
578,16,48,1.79
579,888,48,1.49
580,127,47,4.02
581,753,37,2.54
582,283,76,4.55
583,231,1,1.05
584,613,48,1.76
585,682,6,4.85
586,48,97,2.89
587,677,73,3.33
588,664,42,1.46
589,800,88,1.11
590,48,85,2.04
591,242,29,4.57
592,496,40,3.14
593,131,26,2.35
594,748,92,4.03
595,115,52,3.06
596,37,13,2.63
597,946,87,1.12
598,210,79,4.72
599,672,18,2.17
600,33,24,3.23
601,642,34,2.36
602,413,72,2.14
603,123,87,1.08
604,488,63,4.24
605,717,88,4.5
606,862,57,1.19
607,377,10,4.65
608,30,34,4.27
609,47,42,4.07
610,903,29,1.06
611,520,81,1.45
612,816,46,2.6
613,246,59,1.37
614,106,53,2.12
615,105,84,1.55
616,210,96,2.15
617,63,24,3.09
618,414,12,1.36
619,966,18,2.38
620,116,31,1.15
621,569,46,3.61
622,362,15,3.77
623,37,65,4.23
624,196,52,4.8
625,96,11,1.29
626,616,62,4.25
627,24,76,4.31
628,830,55,4.07
629,617,59,1.91
630,931,94,3.0
631,104,78,1.76
632,798,66,3.35
633,956,44,4.65
634,322,25,3.98
635,844,10,2.26
636,701,61,1.08
637,839,100,3.02
638,399,42,4.09
639,651,90,4.55
640,177,65,3.05
641,266,63,4.59
642,699,54,2.89
643,736,35,2.33
644,689,58,2.12
645,756,52,2.18
646,546,40,1.34
647,324,71,1.81
648,586,63,2.97
649,37,82,4.58
650,615,75,1.99
651,586,2,3.41
652,923,51,4.68
653,734,51,3.08
654,412,87,3.04
655,229,43,4.28
656,881,32,3.0
657,551,73,3.98
658,38,28,3.84
659,828,99,3.63
660,747,16,1.24
661,118,23,4.4
662,599,28,2.13
663,733,14,4.51
664,964,62,4.57
665,841,47,4.98
666,734,10,4.51
667,860,65,4.13
668,201,73,1.07
669,49,53,3.91
670,290,26,1.11
671,297,30,2.5
672,343,71,3.0
673,821,11,2.31
674,377,63,1.73
675,243,37,1.71
676,562,81,1.28
677,401,36,2.79
678,827,60,2.95
679,264,95,2.06
680,346,88,2.91
681,102,45,1.49
682,829,52,1.24
683,951,59,2.37
684,490,35,4.14
685,355,69,4.13
686,470,79,3.72
687,268,91,3.44
688,760,25,1.33
689,89,2,4.61
690,414,25,1.62
691,773,71,2.01
692,518,15,2.52
693,887,29,4.72
694,572,39,3.85
695,310,98,4.94
696,966,99,3.86
697,50,12,4.93
698,398,73,1.79
699,93,3,2.34
700,762,74,1.48
701,982,54,2.03
702,746,11,2.14
703,647,40,1.95
704,47,23,1.98
705,445,34,3.61
706,77,83,2.54
707,90,72,1.6
708,845,51,4.33
709,175,94,4.93
710,805,42,4.59
711,518,86,1.33
712,95,98,3.91
713,411,33,3.95
714,914,9,4.64
715,781,70,4.49
716,540,11,2.08
717,741,5,4.76
718,450,98,4.92
719,310,80,3.17
720,643,99,2.56
721,898,83,1.27
722,334,95,3.19
723,785,62,4.59
724,943,1,4.03
725,167,82,3.95
726,528,62,3.59
727,265,43,3.05
728,57,15,2.49
729,939,60,2.47
730,345,97,4.21
731,105,68,4.03
732,407,14,2.63
733,691,55,1.96
734,925,48,2.24
735,876,65,3.61
736,392,6,1.65
737,803,10,1.41
738,198,93,2.61
739,513,94,2.2
740,399,54,3.69
741,962,11,1.99
742,345,88,2.49
743,112,91,4.75
744,115,17,2.03
745,954,33,2.65
746,947,75,1.85
747,435,95,2.36
748,94,2,3.66
749,380,39,4.41
750,161,78,1.29
751,765,71,3.56
752,192,37,2.97
753,338,70,1.37
754,856,91,4.53
755,883,89,2.42
756,437,8,3.53
757,185,77,3.17
758,332,49,3.42
759,667,45,4.78
760,512,44,4.32
761,421,75,2.19
762,164,13,2.47
763,108,50,1.32
764,687,77,2.24
765,405,29,2.43
766,943,74,3.4
767,389,14,2.86
768,826,34,4.46
769,124,72,2.97
770,1,62,4.72
771,602,4,1.46
772,437,57,3.35
773,967,15,2.03
774,897,100,1.53
775,517,100,4.37
776,110,3,1.89
777,305,52,2.46
778,653,62,2.87
779,59,7,2.86
780,232,1,2.5
781,885,17,1.61
782,257,74,1.74
783,664,83,1.68
784,810,15,2.02
785,459,39,4.03
786,792,17,1.12
787,66,44,3.56
788,58,33,3.4
789,300,55,1.2
790,235,56,2.88
791,976,20,2.46
792,231,66,4.44
793,219,98,1.29
794,505,89,4.48
795,127,11,4.98
796,251,52,4.78
797,946,68,3.34
798,522,51,1.94
799,472,17,4.53
800,933,73,3.72
801,645,74,3.07
802,715,54,2.71
803,733,34,3.78
804,916,66,1.31
805,945,65,2.67
806,84,7,3.09
807,171,29,3.89
808,220,66,4.51
809,301,100,1.88
810,359,63,4.39
811,989,93,2.24
812,958,10,1.29
813,16,22,4.72
814,750,21,2.75
815,762,13,4.43
816,867,29,4.45
817,247,36,3.95
818,804,33,4.01
819,115,47,4.21
820,114,68,3.04
821,870,14,4.58
822,872,76,1.85
823,532,24,1.92
824,43,35,2.08
825,25,82,1.1
826,512,55,4.64
827,85,47,2.6
828,808,5,3.21
829,285,19,4.43
830,968,62,4.43
831,808,68,3.02
832,789,9,3.76
833,175,36,3.48
834,230,1,4.16
835,444,80,4.57
836,893,100,3.44
837,631,55,2.21
838,19,50,2.36
839,219,92,3.24
840,780,93,4.25
841,960,95,3.31
842,831,44,3.45
843,878,70,2.84
844,943,20,2.55
845,735,6,4.9
846,326,52,3.87
847,634,44,1.79
848,895,43,2.93
849,287,50,2.79
850,924,87,4.59
851,594,15,3.36
852,329,18,4.56
853,899,63,2.9
854,813,40,1.53
855,495,36,4.01
856,270,88,4.29
857,522,88,3.2
858,362,36,4.45
859,23,33,4.31
860,240,31,3.55
861,575,57,2.91
862,206,19,4.72
863,521,4,4.28
864,794,75,2.3
865,938,70,3.75
866,59,1,4.61
867,373,93,3.34
868,951,52,3.13
869,735,30,2.72
870,128,20,4.25
871,783,2,1.84
872,421,77,3.65
873,182,7,3.37
874,414,16,3.36
875,654,31,4.58
876,547,25,2.37
877,512,65,2.23
878,742,67,1.21
879,824,100,3.79
880,936,16,1.4
881,615,45,2.4
882,680,55,4.58
883,123,92,3.98
884,986,39,4.1
885,165,64,1.03
886,985,39,2.79
887,341,23,1.58
888,333,92,2.8
889,245,79,4.31
890,670,96,2.56
891,362,10,4.49
892,850,55,1.86
893,223,22,2.37
894,847,69,2.08
895,442,78,3.67
896,100,50,4.73
897,964,13,1.77
898,718,70,4.58
899,81,80,4.39
900,408,55,4.61
901,839,53,4.75
902,161,69,2.26
903,288,52,4.58
904,602,18,3.89
905,751,27,2.97
906,957,7,2.29
907,380,58,2.4
908,983,91,1.89
909,312,18,2.25
910,40,56,3.34
911,309,92,4.93
912,248,76,1.95
913,783,82,2.39
914,321,88,4.54
915,410,64,1.42
916,204,27,1.6
917,290,42,3.86
918,108,63,3.19
919,419,14,2.58
920,942,11,4.26
921,123,65,3.19
922,836,10,2.95
923,117,52,4.37
924,919,35,3.31
925,713,9,2.19
926,35,71,4.29
927,721,80,4.98
928,166,16,2.95
929,572,64,3.37
930,770,28,2.26
931,817,53,3.06
932,303,21,2.67
933,71,45,4.67
934,977,5,2.56
935,930,61,2.27
936,691,8,3.16
937,238,49,3.59
938,579,33,1.88
939,161,20,4.21
940,850,73,3.68
941,311,2,4.55
942,926,44,2.35
943,158,5,4.66
944,962,92,3.74
945,416,87,2.15
946,727,5,2.71
947,193,82,1.45
948,596,57,3.47
949,907,33,1.45
950,537,55,4.23
951,819,93,3.62
952,145,57,1.0
953,368,6,3.36
954,153,91,2.0
955,942,98,4.88
956,466,82,3.53
957,778,55,4.42
958,835,69,3.38
959,250,49,3.91
960,487,60,4.71
961,774,60,1.23
962,749,58,3.78
963,963,35,2.86
964,173,86,4.45
965,453,21,1.4
966,662,78,1.81
967,861,59,2.04
968,3,50,1.15
969,733,4,4.81
970,271,64,4.79
971,753,16,3.16
972,890,56,2.71
973,207,67,3.06
974,750,61,1.65
975,267,80,3.74
976,611,49,1.87
977,487,90,3.66
978,602,77,1.99
979,826,67,3.82
980,263,1,1.55
981,697,68,2.25
982,14,91,3.94
983,370,48,2.97
984,98,66,3.67
985,564,9,2.01
986,942,83,4.92
987,842,56,4.49
988,827,84,2.13
989,228,73,3.8
990,237,1,2.35
991,736,3,3.35
992,169,14,4.62
993,416,54,3.96
994,492,83,3.8
995,980,79,4.15
996,8,11,1.15
997,276,70,2.48
998,372,93,3.29
999,236,18,4.59
1000,151,31,3.59
